"SourceUrl","DestinationUrl"
"https://compudata0365.sharepoint.com/sites/McLeanManagedServices","https://cbizcorp.sharepoint.com/sites/CDIMcLeanManagedServices"
"https://compudata0365.sharepoint.com/sites/McleanPackaging","https://cbizcorp.sharepoint.com/sites/CDIMcleanPackaging"
"https://compudata0365.sharepoint.com/sites/MSPonboardingtemplate","https://cbizcorp.sharepoint.com/sites/CDIMSPonboardingtemplate"
"https://compudata0365.sharepoint.com/sites/NewCustomerOnBoarding","https://cbizcorp.sharepoint.com/sites/CDINewCustomerOnBoarding"
"https://compudata0365.sharepoint.com/sites/NexusBarracuda","https://cbizcorp.sharepoint.com/sites/CDINexusBarracuda"
"https://compudata0365.sharepoint.com/sites/PASteel-NewJuniper3400forBensalem","https://cbizcorp.sharepoint.com/sites/CDIPASteel-NewJuniper3400forBensalem"
"https://compudata0365.sharepoint.com/sites/PrimaryLead","https://cbizcorp.sharepoint.com/sites/CDIPrimaryLead"
"https://compudata0365.sharepoint.com/sites/RDHAzureRefresh","https://cbizcorp.sharepoint.com/sites/CDIRDHAzureRefresh"
"https://compudata0365.sharepoint.com/sites/RDHTireCloudandManagedServices","https://cbizcorp.sharepoint.com/sites/CDIRDHTireCloudandManagedServices"
"https://compudata0365.sharepoint.com/sites/Reladyne-EndpointProfileMigration","https://cbizcorp.sharepoint.com/sites/CDIReladyne-EndpointProfileMigration"
"https://compudata0365.sharepoint.com/sites/Reladyne-PrinterVulnerabilityRemediation","https://cbizcorp.sharepoint.com/sites/CDIReladyne-PrinterVulnerabilityRemediation"
"https://compudata0365.sharepoint.com/sites/RSSIOfficetoOfficeMigration","https://cbizcorp.sharepoint.com/sites/CDIRSSIOfficetoOfficeMigration"
"https://compudata0365.sharepoint.com/sites/SalesSquad310","https://cbizcorp.sharepoint.com/sites/CDISalesSquad310"
"https://compudata0365.sharepoint.com/sites/SeravalliManagedServicesOnboard","https://cbizcorp.sharepoint.com/sites/CDISeravalliManagedServicesOnboard"
"https://compudata0365.sharepoint.com/sites/Steer-IMAPtoOffice","https://cbizcorp.sharepoint.com/sites/CDISteer-IMAPtoOffice"
"https://compudata0365.sharepoint.com/sites/TemplatePlan-ManagedServicesOnboard","https://cbizcorp.sharepoint.com/sites/CDITemplatePlan-ManagedServicesOnboard"
"https://compudata0365.sharepoint.com/sites/test843","https://cbizcorp.sharepoint.com/sites/CDItest843"
"https://compudata0365.sharepoint.com/sites/test896","https://cbizcorp.sharepoint.com/sites/CDItest896"
"https://compudata0365.sharepoint.com/sites/TestPlan","https://cbizcorp.sharepoint.com/sites/CDITestPlan"
"https://compudata0365.sharepoint.com/sites/TritonPacificCapital-MSPOnboard","https://cbizcorp.sharepoint.com/sites/CDITritonPacificCapital-MSPOnboard"
"https://compudata0365.sharepoint.com/sites/TwinRivers-AzureHosting","https://cbizcorp.sharepoint.com/sites/CDITwinRivers-AzureHosting"
"https://compudata0365.sharepoint.com/sites/TwinRivers-SageCloud","https://cbizcorp.sharepoint.com/sites/CDITwinRivers-SageCloud"
"https://compudata0365.sharepoint.com/sites/WESPAC-SageCloud","https://cbizcorp.sharepoint.com/sites/CDIWESPAC-SageCloud"
"https://compudata0365.sharepoint.com/sites/WireandCable-NetworkDeployment","https://cbizcorp.sharepoint.com/sites/CDIWireandCable-NetworkDeployment"
"https://compudata0365.sharepoint.com/sites/WireandCable-SageCloud","https://cbizcorp.sharepoint.com/sites/CDIWireandCable-SageCloud"
